country,year,sex,age,suicides_no,population
Argentina,1979,female,15-24 years,105,2343000
Argentina,1979,female,25-34 years,95,1951000
Argentina,1979,female,35-54 years,136,3295000
Argentina,1979,female,5-14 years,15,2517000
Argentina,1979,female,55-74 years,124,2026000
Argentina,1979,female,75+ years,33,400000
Argentina,1979,male,15-24 years,141,2415000
Argentina,1979,male,25-34 years,187,1993000
Argentina,1979,male,35-54 years,421,3299000
Argentina,1979,male,5-14 years,12,2598000
Argentina,1979,male,55-74 years,395,1852000
Argentina,1979,male,75+ years,138,297000
Argentina,1980,female,15-24 years,111,2286800
Argentina,1980,female,25-34 years,90,2066500
Argentina,1980,female,35-54 years,144,3148900
Argentina,1980,female,5-14 years,18,2592500
Argentina,1980,female,55-74 years,135,2025100
Argentina,1980,female,75+ years,34,470800
Argentina,1980,male,15-24 years,138,2266300
Argentina,1980,male,25-34 years,198,2037200
Argentina,1980,male,35-54 years,447,3086700
Argentina,1980,male,5-14 years,6,2647400
Argentina,1980,male,55-74 years,489,1766100
Argentina,1980,male,75+ years,162,312300
Argentina,1981,female,15-24 years,100,2273000
Argentina,1981,female,25-34 years,78,2049000
Argentina,1981,female,35-54 years,191,3174900
Argentina,1981,female,5-14 years,14,2581800
Argentina,1981,female,55-74 years,129,2083200
Argentina,1981,female,75+ years,27,434400
Argentina,1981,male,15-24 years,171,2334400
Argentina,1981,male,25-34 years,224,2102200
Argentina,1981,male,35-54 years,547,3159800
Argentina,1981,male,5-14 years,12,2657400
Argentina,1981,male,55-74 years,537,1834200
Argentina,1981,male,75+ years,167,311500
Argentina,1982,female,15-24 years,95,2383000
Argentina,1982,female,25-34 years,75,2131000
Argentina,1982,female,35-54 years,124,3341000
Argentina,1982,female,5-14 years,6,2607000
Argentina,1982,female,55-74 years,157,2229000
Argentina,1982,female,75+ years,32,484000
Argentina,1982,male,15-24 years,151,2472000
Argentina,1982,male,25-34 years,207,2198000
Argentina,1982,male,35-54 years,450,3350000
Argentina,1982,male,5-14 years,12,2697000
Argentina,1982,male,55-74 years,483,1989000
Argentina,1982,male,75+ years,173,352000
Argentina,1983,female,15-24 years,80,2422000
Argentina,1983,female,25-34 years,65,2165000
Argentina,1983,female,35-54 years,156,3394000
Argentina,1983,female,5-14 years,9,2649000
Argentina,1983,female,55-74 years,161,2265000
Argentina,1983,female,75+ years,48,492000
Argentina,1983,male,15-24 years,146,2512000
Argentina,1983,male,25-34 years,168,2234000
Argentina,1983,male,35-54 years,338,3405000
Argentina,1983,male,5-14 years,6,2741000
Argentina,1983,male,55-74 years,502,2021000
Argentina,1983,male,75+ years,155,357000
Argentina,1984,female,15-24 years,67,2318000
Argentina,1984,female,25-34 years,59,2151600
Argentina,1984,female,35-54 years,154,3303700
Argentina,1984,female,5-14 years,4,2909800
Argentina,1984,female,55-74 years,161,2268500
Argentina,1984,female,75+ years,33,528700
Argentina,1984,male,15-24 years,132,2378000
Argentina,1984,male,25-34 years,163,2199800
Argentina,1984,male,35-54 years,415,3294800
Argentina,1984,male,5-14 years,15,2997300
Argentina,1984,male,55-74 years,494,1966200
Argentina,1984,male,75+ years,176,357500
Argentina,1985,female,15-24 years,69,2354200
Argentina,1985,female,25-34 years,65,2185200
Argentina,1985,female,35-54 years,142,3355300
Argentina,1985,female,5-14 years,11,2955200
Argentina,1985,female,55-74 years,210,2304000
Argentina,1985,female,75+ years,41,537000
Argentina,1985,male,15-24 years,156,2415200
Argentina,1985,male,25-34 years,177,2234200
Argentina,1985,male,35-54 years,414,3346300
Argentina,1985,male,5-14 years,16,3044200
Argentina,1985,male,55-74 years,485,1997000
Argentina,1985,male,75+ years,202,363000
Argentina,1986,female,15-24 years,101,2367600
Argentina,1986,female,25-34 years,96,2197600
Argentina,1986,female,35-54 years,188,3374300
Argentina,1986,female,5-14 years,7,2971900
Argentina,1986,female,55-74 years,201,2317100
Argentina,1986,female,75+ years,48,540200
Argentina,1986,male,15-24 years,186,2428900
Argentina,1986,male,25-34 years,209,2246900
Argentina,1986,male,35-54 years,478,3365200
Argentina,1986,male,5-14 years,10,3061400
Argentina,1986,male,55-74 years,530,2008300
Argentina,1986,male,75+ years,230,365000
Argentina,1987,female,15-24 years,93,2398400
Argentina,1987,female,25-34 years,89,2226200
Argentina,1987,female,35-54 years,209,3418300
Argentina,1987,female,5-14 years,14,3010700
Argentina,1987,female,55-74 years,224,2347300
Argentina,1987,female,75+ years,57,547000
Argentina,1987,male,15-24 years,179,2460600
Argentina,1987,male,25-34 years,192,2276200
Argentina,1987,male,35-54 years,482,3409100
Argentina,1987,male,5-14 years,15,3101300
Argentina,1987,male,55-74 years,532,2034500
Argentina,1987,male,75+ years,200,369800
Argentina,1988,female,15-24 years,101,2459000
Argentina,1988,female,25-34 years,61,2228000
Argentina,1988,female,35-54 years,198,3508000
Argentina,1988,female,5-14 years,11,3115000
Argentina,1988,female,55-74 years,233,2412000
Argentina,1988,female,75+ years,61,602000
Argentina,1988,male,15-24 years,211,2524000
Argentina,1988,male,25-34 years,215,2276000
Argentina,1988,male,35-54 years,477,3503000
Argentina,1988,male,5-14 years,20,3210000
Argentina,1988,male,55-74 years,550,2079000
Argentina,1988,male,75+ years,216,392000
