country,year,sex,age,suicides_no,population
Brazil,1979,female,15-24 years,385,12448100
Brazil,1979,female,25-34 years,227,8867900
Brazil,1979,female,35-54 years,269,10282200
Brazil,1979,female,5-14 years,47,14135000
Brazil,1979,female,55-74 years,121,4678800
Brazil,1979,female,75+ years,25,790700
Brazil,1979,male,15-24 years,568,12533100
Brazil,1979,male,25-34 years,583,8875800
Brazil,1979,male,35-54 years,784,10234300
Brazil,1979,male,5-14 years,26,14238600
Brazil,1979,male,55-74 years,358,4446200
Brazil,1979,male,75+ years,66,675400
Brazil,1980,female,15-24 years,410,12735900
Brazil,1980,female,25-34 years,234,9073000
Brazil,1980,female,35-54 years,347,10520000
Brazil,1980,female,5-14 years,34,14461800
Brazil,1980,female,55-74 years,124,4787000
Brazil,1980,female,75+ years,25,809000
Brazil,1980,male,15-24 years,597,12822900
Brazil,1980,male,25-34 years,658,9081000
Brazil,1980,male,35-54 years,836,10471000
Brazil,1980,male,5-14 years,26,14567800
Brazil,1980,male,55-74 years,468,4549000
Brazil,1980,male,75+ years,105,691000
Brazil,1981,female,15-24 years,439,13028200
Brazil,1981,female,25-34 years,261,9281200
Brazil,1981,female,35-54 years,283,10761400
Brazil,1981,female,5-14 years,37,14793700
Brazil,1981,female,55-74 years,139,4896800
Brazil,1981,female,75+ years,26,827600
Brazil,1981,male,15-24 years,729,13117100
Brazil,1981,male,25-34 years,722,9289400
Brazil,1981,male,35-54 years,884,10711300
Brazil,1981,male,5-14 years,37,14902200
Brazil,1981,male,55-74 years,380,4653300
Brazil,1981,male,75+ years,92,706900
Brazil,1982,female,15-24 years,374,13324800
Brazil,1982,female,25-34 years,246,9492600
Brazil,1982,female,35-54 years,264,11006400
Brazil,1982,female,5-14 years,41,15130500
Brazil,1982,female,55-74 years,114,5008300
Brazil,1982,female,75+ years,29,846400
Brazil,1982,male,15-24 years,675,13415800
Brazil,1982,male,25-34 years,731,9500900
Brazil,1982,male,35-54 years,876,10955300
Brazil,1982,male,5-14 years,30,15241400
Brazil,1982,male,55-74 years,417,4759300
Brazil,1982,male,75+ years,100,723000
Brazil,1983,female,15-24 years,435,13162600
Brazil,1983,female,25-34 years,272,10336100
Brazil,1983,female,35-54 years,318,11663100
Brazil,1983,female,5-14 years,41,14953600
Brazil,1983,female,55-74 years,182,5408000
Brazil,1983,female,75+ years,34,944900
Brazil,1983,male,15-24 years,715,13241400
Brazil,1983,male,25-34 years,775,10301800
Brazil,1983,male,35-54 years,1090,11472800
Brazil,1983,male,5-14 years,37,15021400
Brazil,1983,male,55-74 years,572,5135000
Brazil,1983,male,75+ years,91,804300
Brazil,1984,female,15-24 years,346,13456000
